NETWORK STATION CHANNEL START_TIME START_TIME_MINUTES END_TIME END_TIME_MINUTES LAT LON ELEVATION DEPTH AZIMUTH DIP SAMPLE_RATE days
7A W01 BH1 2010-07-13 00:00:00 2011-06-24 23:59:59 48.0797 -126.342499 -1697.0 0.0 90.0 0.0 50.0 346.0
7A W01 BH2 2010-07-13 00:00:00 2011-06-24 23:59:59 48.0797 -126.342499 -1697.0 0.0 0.0 0.0 50.0 346.0
7A W01 BHZ 2010-07-13 00:00:00 2011-06-24 23:59:59 48.0797 -126.342499 -1697.0 0.0 0.0 -90.0 50.0 346.0
7A W02 BH1 2010-07-13 00:00:00 2011-06-25 23:59:59 48.2593 -126.496803 -2133.0 0.0 90.0 0.0 50.0 347.0
7A W02 BH2 2010-07-13 00:00:00 2011-06-25 23:59:59 48.2593 -126.496803 -2133.0 0.0 0.0 0.0 50.0 347.0
7A W02 BHZ 2010-07-13 00:00:00 2011-06-25 23:59:59 48.2593 -126.496803 -2133.0 0.0 0.0 -90.0 50.0 347.0
7A W03 BH1 2010-07-14 00:00:00 2011-06-26 23:59:59 48.387501 -126.728699 -2489.0 0.0 90.0 0.0 50.0 347.0
7A W03 BH2 2010-07-14 00:00:00 2011-06-26 23:59:59 48.387501 -126.728699 -2489.0 0.0 0.0 0.0 50.0 347.0
7A W03 BHZ 2010-07-14 00:00:00 2011-06-26 23:59:59 48.387501 -126.728699 -2489.0 0.0 0.0 -90.0 50.0 347.0
7A W04 BH1 2010-07-14 00:00:00 2011-06-27 23:59:59 48.5317 -126.8908 -2319.0 0.0 90.0 0.0 50.0 348.0
7A W04 BH2 2010-07-14 00:00:00 2011-06-27 23:59:59 48.5317 -126.8908 -2319.0 0.0 0.0 0.0 50.0 348.0
7A W04 BHZ 2010-07-14 00:00:00 2011-06-27 23:59:59 48.5317 -126.8908 -2319.0 0.0 0.0 -90.0 50.0 348.0
7A W05 BH1 2010-07-14 00:00:00 2011-06-27 23:59:59 48.6675 -127.013397 -2011.0 0.0 90.0 0.0 50.0 348.0
7A W05 BH2 2010-07-14 00:00:00 2011-06-27 23:59:59 48.6675 -127.013397 -2011.0 0.0 0.0 0.0 50.0 348.0
7A W05 BHZ 2010-07-14 00:00:00 2011-06-27 23:59:59 48.6675 -127.013397 -2011.0 0.0 0.0 -90.0 50.0 348.0
7A W06 BH1 2010-07-15 00:00:00 2011-06-25 23:59:59 48.182701 -126.064697 -1001.0 0.0 90.0 0.0 50.0 345.0
7A W06 BH2 2010-07-15 00:00:00 2011-06-25 23:59:59 48.182701 -126.064697 -1001.0 0.0 0.0 0.0 50.0 345.0
7A W06 BHZ 2010-07-15 00:00:00 2011-06-25 23:59:59 48.182701 -126.064697 -1001.0 0.0 0.0 -90.0 50.0 345.0
7A W07 BH1 2010-07-15 00:00:00 2011-06-25 23:59:59 48.374699 -126.282204 -1152.0 0.0 90.0 0.0 50.0 345.0
7A W07 BH2 2010-07-15 00:00:00 2011-06-25 23:59:59 48.374699 -126.282204 -1152.0 0.0 0.0 0.0 50.0 345.0
7A W07 BHZ 2010-07-15 00:00:00 2011-06-25 23:59:59 48.374699 -126.282204 -1152.0 0.0 0.0 -90.0 50.0 345.0
7A W08 BH1 2010-07-15 00:00:00 2011-06-26 23:59:59 48.564499 -126.4011 -1028.0 0.0 90.0 0.0 50.0 346.0
7A W08 BH2 2010-07-15 00:00:00 2011-06-26 23:59:59 48.564499 -126.4011 -1028.0 0.0 0.0 0.0 50.0 346.0
7A W08 BHZ 2010-07-15 00:00:00 2011-06-26 23:59:59 48.564499 -126.4011 -1028.0 0.0 0.0 -90.0 50.0 346.0
7A W09 BH1 2010-07-15 00:00:00 2011-06-28 23:59:59 48.688 -126.577003 -1156.0 0.0 90.0 0.0 50.0 348.0
7A W09 BH2 2010-07-15 00:00:00 2011-06-28 23:59:59 48.688 -126.577003 -1156.0 0.0 0.0 0.0 50.0 348.0
7A W09 BHZ 2010-07-15 00:00:00 2011-06-28 23:59:59 48.688 -126.577003 -1156.0 0.0 0.0 -90.0 50.0 348.0
7A W10 BH1 2010-07-14 00:00:00 2011-06-28 23:59:59 48.787899 -126.702202 -1070.0 0.0 90.0 0.0 50.0 349.0
7A W10 BH2 2010-07-14 00:00:00 2011-06-28 23:59:59 48.787899 -126.702202 -1070.0 0.0 0.0 0.0 50.0 349.0
7A W10 BHZ 2010-07-14 00:00:00 2011-06-28 23:59:59 48.787899 -126.702202 -1070.0 0.0 0.0 -90.0 50.0 349.0
7D FC03D HH1 2014-09-07 21:48:20 2015-09-03 23:11:06 44.813301 -124.738297 -432.0 0.0 0.0 0.0 125.0 361.0
7D FC03D HH2 2014-09-07 21:48:20 2015-09-03 23:11:06 44.813301 -124.738297 -432.0 0.0 0.0 0.0 125.0 361.0
7D FC03D HHZ 2014-09-07 21:48:20 2015-09-03 23:11:06 44.813301 -124.738297 -432.0 0.0 0.0 -90.0 125.0 361.0
7D FN01A HH1 2011-07-27 20:15:00 2012-07-21 23:05:41 46.882 -124.333702 -54.0 0.0 0.0 0.0 125.0 360.0
7D FN01A HH2 2011-07-27 20:15:00 2012-07-21 23:05:41 46.882 -124.333702 -54.0 0.0 0.0 0.0 125.0 360.0
7D FN01A HHZ 2011-07-27 20:15:00 2012-07-21 00:00:17 46.882 -124.333702 -54.0 0.0 0.0 -90.0 125.0 360.0
7D FN01C HH1 2013-08-31 16:14:00 2014-06-27 05:00:17 46.882301 -124.333298 -56.0 0.0 0.0 0.0 125.0 300.0
7D FN01C HH2 2013-08-31 16:14:00 2014-06-27 05:00:17 46.882301 -124.333298 -56.0 0.0 0.0 0.0 125.0 300.0
7D FN01C HHZ 2013-08-31 16:14:00 2014-06-27 05:00:17 46.882301 -124.333298 -56.0 0.0 0.0 -90.0 125.0 300.0
7D FN02C HH1 2013-08-31 20:23:00 2014-06-28 19:03:07 46.949699 -124.428001 -67.0 0.0 0.0 0.0 125.0 301.0
7D FN02C HH2 2013-08-31 20:23:00 2014-06-28 19:03:07 46.949699 -124.428001 -67.0 0.0 0.0 0.0 125.0 301.0
7D FN02C HHZ 2013-08-31 20:23:00 2014-06-28 19:03:07 46.949699 -124.428001 -67.0 0.0 0.0 -90.0 125.0 301.0
7D FN03C HH1 2013-09-01 08:28:00 2014-06-28 21:50:45 46.887199 -124.525101 -93.0 0.0 0.0 0.0 125.0 300.0
7D FN03C HH2 2013-09-01 08:28:00 2014-06-28 21:50:45 46.887199 -124.525101 -93.0 0.0 0.0 0.0 125.0 300.0
7D FN03C HHZ 2013-09-01 08:28:00 2014-06-28 21:50:45 46.887199 -124.525101 -93.0 0.0 0.0 -90.0 125.0 300.0
7D FN04C HH1 2013-09-01 11:56:00 2014-06-26 01:52:11 46.9175 -124.601303 -104.0 0.0 0.0 0.0 125.0 298.0
7D FN04C HH2 2013-09-01 11:56:00 2014-06-26 01:52:11 46.9175 -124.601303 -104.0 0.0 0.0 0.0 125.0 298.0
7D FN04C HHZ 2013-09-01 11:56:00 2014-06-26 01:52:11 46.9175 -124.601303 -104.0 0.0 0.0 -90.0 125.0 298.0
7D FN05A HH1 2011-07-29 00:22:00 2012-01-10 20:16:12 46.8578 -124.655296 -124.0 0.0 0.0 0.0 125.0 165.0
7D FN05A HH2 2011-07-29 00:22:00 2012-01-10 20:16:12 46.8578 -124.655296 -124.0 0.0 0.0 0.0 125.0 165.0
7D FN05A HHZ 2011-07-29 00:22:00 2012-01-10 20:16:12 46.8578 -124.655296 -124.0 0.0 0.0 -90.0 125.0 165.0
7D FN05C HH1 2013-09-01 15:07:00 2014-06-25 23:16:14 46.857498 -124.655602 -123.0 0.0 0.0 0.0 125.0 297.0
7D FN05C HH2 2013-09-01 15:07:00 2014-06-25 23:16:14 46.857498 -124.655602 -123.0 0.0 0.0 0.0 125.0 297.0
7D FN05C HHZ 2013-09-01 15:07:00 2014-06-25 23:16:14 46.857498 -124.655602 -123.0 0.0 0.0 -90.0 125.0 297.0
7D FN06C HH1 2013-09-01 19:36:30 2014-06-29 17:50:14 46.922001 -124.7313 -137.0 0.0 0.0 0.0 125.0 301.0
7D FN06C HH2 2013-09-01 19:36:30 2014-06-29 17:50:14 46.922001 -124.7313 -137.0 0.0 0.0 0.0 125.0 301.0
7D FN06C HHZ 2013-09-01 19:36:30 2014-06-29 17:50:14 46.922001 -124.7313 -137.0 0.0 0.0 -90.0 125.0 301.0
7D FN07A HH1 2011-07-28 22:35:30 2012-07-20 22:26:54 46.855499 -124.786499 -154.0 0.0 0.0 0.0 125.0 358.0
7D FN07A HH2 2011-07-28 22:35:30 2012-07-20 22:26:53 46.855499 -124.786499 -154.0 0.0 0.0 0.0 125.0 358.0
7D FN07A HHZ 2011-07-28 22:35:30 2012-07-20 22:26:54 46.855499 -124.786499 -154.0 0.0 0.0 -90.0 125.0 358.0
7D FN07C HH1 2013-09-02 08:09:00 2014-06-29 20:03:00 46.8554 -124.786003 -158.0 0.0 0.0 0.0 125.0 300.0
7D FN07C HH2 2013-09-02 08:09:00 2014-06-29 20:03:00 46.8554 -124.786003 -158.0 0.0 0.0 0.0 125.0 300.0
7D FN07C HHZ 2013-09-02 08:09:00 2014-06-29 20:03:00 46.8554 -124.786003 -158.0 0.0 0.0 -90.0 125.0 300.0
7D FN08A HH1 2011-07-29 04:22:30 2012-07-22 04:15:38 46.888802 -124.8769 -177.0 0.0 0.0 0.0 125.0 359.0
7D FN08A HH2 2011-07-29 04:22:30 2012-07-22 04:15:38 46.888802 -124.8769 -177.0 0.0 0.0 0.0 125.0 359.0
